model_name,mrr@1,mrr@3,mrr@5,mrr@10,mrr@20,mrr@50,mrr@100,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,recall@100,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,precision@100,avg_latency_sec,embedder,source,database,use_first_chunk_only,chunk_size,overlap,num_docs,num_chunks,experiment_time,docs_load_time_sec,embedder_load_time_sec,prompt_mode,estimated_cost_usd,actual_cost_usd,estimated_tokens,doc_tokens_est,query_tokens_est,cpu_time_sec,gpu_time_sec,max_gpu_memory_allocated_mb,max_gpu_memory_reserved_mb,distance_metric
nvidia/llama-embed-nemotron-8b,0.853125,0.9057291666666666,0.9079166666666666,0.9102418154761904,0.9107863230519481,0.9107863230519481,0.9107863230519481,0.853125,0.96875,0.978125,0.99375,1.0,1.0,1.0,0.853125,0.3229166666666667,0.195625,0.09937499999999999,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.04393183581996709,llama-embed-nemotron,local,/tmp/chroma_5861533_llama-embed-nemotron,True,1024,0,20,20,65.34852480888367,4.318410634994507,44.476141929626465,custom,none,none,none,none,none,27.845587476,63.0104296875,15166.197265625,15546.0,cosine
Qwen/Qwen3-Embedding-8B,0.8875,0.9265625,0.9301562499999999,0.9312847222222222,0.9315251068376069,0.9315251068376069,0.9315251068376069,0.8875,0.971875,0.9875,0.996875,1.0,1.0,1.0,0.8875,0.32395833333333335,0.19749999999999995,0.0996875,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.04806455280631781,qwen3,local,/tmp/chroma_5861537_qwen3,True,1024,0,20,20,30.639994144439697,2.5679943561553955,10.265645027160645,custom,none,none,none,none,none,44.907177368,28.3553984375,16764.16845703125,17334.0,cosine
Qwen/Qwen3-Embedding-8B,0.8875,0.9265625,0.9301562499999999,0.9312847222222222,0.9315251068376069,0.9315251068376069,0.9315251068376069,0.8875,0.971875,0.9875,0.996875,1.0,1.0,1.0,0.8875,0.32395833333333335,0.19749999999999995,0.0996875,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.04806055879453197,qwen3,local,/tmp/chroma_5861538_qwen3,True,1024,0,20,20,27.90147638320923,2.431259870529175,7.684521675109863,custom,none,none,none,none,none,43.483870349,25.63057421875,16764.16845703125,17334.0,cosine
BAAI/bge-multilingual-gemma2,0.85,0.8989583333333332,0.9033333333333333,0.9063281249999999,0.9070521405677654,0.9070521405677654,0.9070521405677654,0.85,0.953125,0.971875,0.990625,1.0,1.0,1.0,0.85,0.31770833333333337,0.194375,0.09906249999999998,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.05359943113289774,gemma2,local,/tmp/chroma_5861540_gemma2,True,1024,0,20,20,860.3001892566681,2.5441300868988037,838.1749224662781,custom,none,none,none,none,none,205.526332867,858.002375,18498.5458984375,19026.0,cosine
BAAI/bge-multilingual-gemma2,0.953125,0.971875,0.97328125,0.9738020833333334,0.9738020833333334,0.9738020833333334,0.9738020833333334,0.953125,0.990625,0.996875,1.0,1.0,1.0,1.0,0.953125,0.8208333333333332,0.73125,0.58625,0.41109375000000004,0.20549999999999996,0.11368750000000002,0.055788917851168664,gemma2,local,/tmp/chroma_5861542_gemma2,False,1024,100,20,240,427.53370428085327,30.06297755241394,376.8727083206177,custom,none,none,none,none,none,150.225325002,425.1809375,19909.1474609375,22062.0,cosine
nvidia/llama-embed-nemotron-8b,0.9375,0.9557291666666666,0.9571354166666666,0.9590228174603175,0.9590228174603175,0.9590228174603175,0.9590776420217211,0.9375,0.975,0.98125,0.996875,0.996875,0.996875,1.0,0.9375,0.8125,0.7237500000000001,0.6096875,0.425625,0.21037500000000003,0.11471875000000001,0.04599630446173251,llama-embed-nemotron,local,/tmp/chroma_5861583_llama-embed-nemotron,False,1024,100,20,240,100.6173734664917,18.963458776474,64.29227471351624,custom,none,none,none,none,none,47.676111558,98.3547734375,16512.21044921875,17938.0,cosine
sentence-transformers/all-MiniLM-L6-v2,0.55625,0.628125,0.64453125,0.6552901785714286,0.6591218045826936,0.6606911804532432,0.6610268755613345,0.55625,0.721875,0.79375,0.871875,0.928125,0.971875,0.99375,0.55625,0.409375,0.3393750000000001,0.24437500000000006,0.16921875,0.1034375,0.07196875,0.9754049032460899,minilm,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,377.4153821468353,59.42602586746216,4.467570543289185,none,none,none,none,none,none,1206.742160015,none,none,none,cosine
intfloat/multilingual-e5-large-instruct,0.878125,0.9020833333333332,0.9042708333333334,0.9076587301587302,0.9082707093253969,0.9087316010684579,0.9088421004481104,0.878125,0.934375,0.94375,0.96875,0.978125,0.990625,0.996875,0.878125,0.759375,0.68625,0.5431250000000001,0.3771875,0.19325000000000003,0.10825,4.248854616191238,e5,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,3060.531804084778,1665.1992843151093,34.22341012954712,none,none,none,none,none,none,23331.976042416,none,none,none,cosine
fav-kky/FERNET-C5,0.3125,0.396875,0.41937499999999994,0.4414546130952381,0.4496006427218937,0.452100201842424,0.4527426455785476,0.3125,0.509375,0.609375,0.775,0.8875,0.9625,1.0,0.3125,0.2479166666666667,0.226875,0.18937500000000002,0.14359375000000002,0.09643750000000001,0.07043750000000001,2.3587069445522504,fernet,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,1335.8332118988037,575.248055934906,4.2149646282196045,none,none,none,none,none,none,7644.685725409,none,none,none,cosine
all-mpnet-base-v2,0.44375,0.5072916666666666,0.5229166666666666,0.5347135416666667,0.541024765662077,0.5445766308338016,0.5452454026093103,0.44375,0.590625,0.659375,0.746875,0.840625,0.94375,0.9875,0.44375,0.3395833333333333,0.2875,0.22437500000000005,0.16468750000000001,0.10575000000000001,0.07675000000000001,2.4159640780300835,mpnet,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,1252.4335460662842,473.84550499916077,3.9596047401428223,none,none,none,none,none,none,7042.7017203840005,none,none,none,cosine
