model_name,mrr@1,mrr@3,mrr@5,mrr@10,mrr@20,mrr@50,mrr@100,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,recall@100,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,precision@100,avg_latency_sec,embedder,source,database,use_first_chunk_only,chunk_size,overlap,num_docs,num_chunks,experiment_time,docs_load_time_sec,embedder_load_time_sec,prompt_mode,estimated_cost_usd,actual_cost_usd,estimated_tokens,doc_tokens_est,query_tokens_est,cpu_time_sec,gpu_time_sec,max_gpu_memory_allocated_mb,max_gpu_memory_reserved_mb,distance_metric
BAAI/bge-multilingual-gemma2,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8518518518518517,0.7777777777777778,0.5444444444444445,0.3611111111111111,0.1933333333333333,0.11444444444444442,0.08301805302552465,gemma2,local,/tmp/chroma_5861690_gemma2,False,1024,100,20,240,614.8552966117859,29.651994943618774,581.034059047699,custom,none,none,none,none,none,287.286323513,612.35475,19909.1474609375,22062.0,cosine
fav-kky/FERNET-C5,0.2222222222222222,0.37037037037037035,0.3925925925925926,0.4247574955908289,0.42802546944703806,0.42802546944703806,0.42802546944703806,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.9444444444444444,1.0,1.0,1.0,0.2222222222222222,0.1851851851851852,0.13333333333333336,0.09444444444444446,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.6228085382867398,fernet,auto,./chroma_data,True,1024,0,20,20,19.444397926330566,6.09689998626709,2.063558340072632,custom,none,none,none,none,none,94.58604098800001,none,none,none,cosine
sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.7129629629629629,0.7407407407407407,0.7407407407407407,0.7484864672364672,0.7484864672364672,0.7484864672364672,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.6666666666666666,0.25925925925925924,0.1777777777777778,0.0888888888888889,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.167317900114641,minilm,auto,./chroma_data,True,1024,0,20,20,6.855243921279907,1.3110136985778809,2.3885767459869385,custom,none,none,none,none,none,17.712737063,none,none,none,cosine
intfloat/multilingual-e5-large-instruct,0.8333333333333334,0.8611111111111112,0.8611111111111112,0.8703703703703705,0.8754208754208754,0.8754208754208754,0.8754208754208754,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,0.8333333333333334,0.2962962962962962,0.1777777777777778,0.09444444444444446,0.05000000000000001,0.020000000000000004,0.010000000000000002,4.452170322212623,e5,auto,./chroma_data,True,1024,0,20,20,118.44814586639404,28.73299765586853,9.364995956420898,custom,none,none,none,none,none,766.321185884,none,none,none,cosine
all-mpnet-base-v2,0.6111111111111112,0.7592592592592592,0.7592592592592592,0.7592592592592592,0.762962962962963,0.762962962962963,0.762962962962963,0.6111111111111112,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.6111111111111112,0.31481481481481477,0.1888888888888889,0.09444444444444446,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.4746190265577752,mpnet,auto,./chroma_data,True,1024,0,20,20,20.425792932510376,9.196544647216797,2.581599235534668,custom,none,none,none,none,none,100.30933027799999,none,none,none,cosine
sentence-transformers/paraphrase-xlm-r-multilingual-v1,0.5,0.6296296296296297,0.6296296296296297,0.6407407407407407,0.65,0.65,0.65,0.5,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0,1.0,0.5,0.25925925925925924,0.15555555555555559,0.0888888888888889,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.6103080300575433,paraphrase,auto,./chroma_data,True,1024,0,20,20,16.810657262802124,2.7335879802703857,3.0488033294677734,custom,none,none,none,none,none,72.89775422199999,none,none,none,cosine
nvidia/llama-embed-nemotron-8b,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8981481481481483,0.8981481481481483,0.8981481481481483,0.8981481481481483,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.8333333333333334,0.31481481481481477,0.1888888888888889,0.10000000000000002,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.38381259731896633,llama-embed-nemotron,local,/tmp/chroma_5871328_llama-embed-nemotron,True,1024,0,20,20,80.96838235855103,6.001215696334839,64.54892063140869,none,none,none,none,none,none,26.033551845999998,77.6438828125,15166.197265625,15544.0,cosine
Qwen/Qwen3-Embedding-4B,0.7777777777777778,0.8518518518518517,0.8518518518518517,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7777777777777778,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.7777777777777778,0.31481481481481477,0.1888888888888889,0.10000000000000002,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.07235305868865301,qwen3-4b,local,/tmp/chroma_5871327_qwen3-4b,True,1024,0,20,20,270.4071533679962,4.2467498779296875,262.4884238243103,none,none,none,none,none,none,81.721011684,268.09115625,9806.67041015625,10430.0,cosine
Qwen/Qwen3-Embedding-8B,0.7777777777777778,0.8518518518518517,0.8518518518518517,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7777777777777778,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.7777777777777778,0.31481481481481477,0.1888888888888889,0.10000000000000002,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.07157464267220348,qwen3,local,/tmp/chroma_5871326_qwen3,True,1024,0,20,20,516.704671382904,4.913064241409302,507.8500425815582,none,none,none,none,none,none,137.212007923,514.1433125,16764.16845703125,17320.0,cosine
sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.7129629629629629,0.7407407407407407,0.7407407407407407,0.7484864672364672,0.7484864672364672,0.7484864672364672,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.6666666666666666,0.25925925925925924,0.1777777777777778,0.0888888888888889,0.05000000000000001,0.020000000000000004,0.010000000000000002,0.4994886043585009,minilm,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc/minilm,True,1024,0,20,20,15.4655122756958,4.281915903091431,2.1289849281311035,none,none,none,none,none,none,38.790579764,none,none,none,cosine
