pdf_file,reference_chars,tika_time,tika_chars,tika_chrf,tika_chrfPlusPlus,tika_levenshteinRatio,tika_charDiff,tika_charDiffPct,docling_time,docling_chars,docling_chrf,docling_chrfPlusPlus,docling_levenshteinRatio,docling_charDiff,docling_charDiffPct,pypdfloader_time,pypdfloader_chars,pypdfloader_chrf,pypdfloader_chrfPlusPlus,pypdfloader_levenshteinRatio,pypdfloader_charDiff,pypdfloader_charDiffPct
0_umělá_inteligence.pdf,30536,4.7311,49389,88.0579,89.5588,0.7365,18853,61.7402,122.5351,31896,96.8035,95.6844,0.9457,1360,4.4538,0.5365,31424,99.2368,97.1191,0.9498,888,2.9080
10_neuronová_síť.pdf,27210,0.1036,32702,84.4346,83.4456,0.7666,5492,20.1838,28.8160,24566,87.0158,84.8889,0.8854,-2644,-9.7170,0.8837,24189,88.7851,86.2112,0.8886,-3021,-11.1025
11_skrytý_markovův_model.pdf,6878,0.0509,10575,86.8606,87.9708,0.7373,3697,53.7511,6.8131,7009,94.0570,92.5560,0.9246,131,1.9046,0.0778,6943,96.4659,94.4894,0.9260,65,0.9450
12_získávání_informací.pdf,12629,0.0559,16284,94.7194,95.2984,0.8600,3655,28.9413,14.3908,13634,96.5048,96.0198,0.9559,1005,7.9579,0.1616,13545,98.6471,98.1764,0.9499,916,7.2531
13_dolování_z_textů.pdf,3575,0.0488,6073,87.2101,88.7673,0.7206,2498,69.8741,5.1876,4043,95.5674,94.9344,0.9181,468,13.0909,0.0483,3960,97.8100,96.7485,0.9224,385,10.7692
14_viterbiho_algoritmus.pdf,18815,0.1084,21644,74.3526,71.2528,0.6699,2829,15.0359,18.6612,14675,75.5989,71.5732,0.7848,-4140,-22.0037,0.7812,14632,78.0219,73.2038,0.7977,-4183,-22.2323
15_učení_bez_učitele.pdf,3234,0.0434,5408,86.1084,87.0919,0.7063,2174,67.2233,79.4775,3466,94.9706,93.7409,0.9191,232,7.1738,0.0438,3405,97.0291,95.0284,0.9185,171,5.2876
16_shluková_analýza.pdf,12399,0.0495,16954,90.3297,90.5678,0.7968,4555,36.7368,20.3344,12739,93.9879,92.2086,0.9282,340,2.7422,0.3799,12558,96.7898,94.9844,0.9371,159,1.2824
17_lemmatizace.pdf,4755,0.4036,8142,86.6665,87.0246,0.7019,3387,71.2303,13.1338,5215,94.0932,91.8942,0.8947,460,9.6740,0.1015,5062,98.2854,94.2450,0.9217,307,6.4564
18_jazykový_korpus.pdf,11733,0.1654,16529,92.0435,93.0745,0.8097,4796,40.8762,14.7675,12385,97.6474,97.1731,0.9540,652,5.5570,0.2269,12322,99.0085,98.2554,0.9511,589,5.0200
19_lineární_regrese.pdf,14596,0.1157,13837,60.1575,57.2278,0.5784,-759,-5.2001,18.4592,8812,60.3549,56.8568,0.6836,-5784,-39.6273,1.1800,8655,62.0543,58.1297,0.6909,-5941,-40.7029
1_strojové_učení.pdf,4905,0.0411,9923,82.1091,84.9334,0.6396,5018,102.3038,114.2414,5553,92.6176,91.4840,0.9065,648,13.2110,0.0838,5407,98.0011,97.1440,0.9193,502,10.2345
2_algoritmus.pdf,16974,0.2121,23798,92.0702,92.8014,0.8094,6824,40.2027,22.3556,17722,97.3237,96.5550,0.9548,748,4.4067,0.2786,17554,99.1796,98.2196,0.9555,580,3.4170
3_obecná_umělá_inteligence.pdf,2362,0.0866,4884,81.4070,83.8731,0.6268,2522,106.7739,92.4400,2662,94.6871,93.6876,0.8846,300,12.7011,0.0633,2601,97.8024,95.5984,0.9148,239,10.1185
4_nlp.pdf,9990,0.1157,16226,88.4491,89.9842,0.7467,6236,62.4224,13.9101,10932,95.8378,94.8311,0.9410,942,9.4294,0.1982,10777,98.4648,97.2694,0.9426,787,7.8779
5_word2vec.pdf,1828,0.0343,3643,82.5580,84.3828,0.6423,1815,99.2888,4.0663,2169,94.5192,93.9691,0.8777,341,18.6543,0.0360,2127,96.5255,95.0115,0.8875,299,16.3567
6_strojový_překlad.pdf,12287,0.0873,17410,91.9435,93.0269,0.8103,5123,41.6945,89.8587,13095,97.6514,97.1962,0.9571,808,6.5761,0.1684,12965,98.8651,98.2818,0.9528,678,5.5180
7_chatgpt.pdf,10572,0.0556,18963,84.9992,86.8193,0.6845,8391,79.3700,13.9125,11642,95.8986,94.5698,0.9153,1070,10.1211,0.1938,11443,98.0081,95.2151,0.9178,871,8.2387
8_rys_lingvistika.pdf,4061,0.0550,5225,94.5367,95.2303,0.8559,1164,28.6629,87.1353,4215,96.9058,96.6091,0.9640,154,3.7922,0.0502,4209,99.2730,99.0233,0.9606,148,3.6444
9_tvarosloví.pdf,1953,0.0811,4127,80.6614,82.9224,0.6181,2174,111.3159,4.9046,2372,94.7069,94.1226,0.8703,419,21.4542,0.0357,2343,95.6459,94.9259,0.8729,390,19.9693
