pdf_file,reference_chars,tika_time,tika_chars,tika_chrf,tika_chrfPlusPlus,tika_levenshteinRatio,tika_charDiff,tika_charDiffPct,docling_time,docling_chars,docling_chrf,docling_chrfPlusPlus,docling_levenshteinRatio,docling_charDiff,docling_charDiffPct,pypdfloader_time,pypdfloader_chars,pypdfloader_chrf,pypdfloader_chrfPlusPlus,pypdfloader_levenshteinRatio,pypdfloader_charDiff,pypdfloader_charDiffPct
0_umělá_inteligence.pdf,30536,0.1802,69,0.0694,0.0595,0.0044,-30467,-99.7740,147.2328,26032,64.9542,59.8935,0.7897,-4504,-14.7498,0.1035,0,0.0000,0.0000,0.0000,0,0.0000
10_neuronová_síť.pdf,27210,0.4186,62,0.0654,0.0561,0.0045,-27148,-99.7721,131.8735,21007,58.4007,52.8376,0.7405,-6203,-22.7968,0.1903,0,0.0000,0.0000,0.0000,0,0.0000
11_skrytý_markovův_model.pdf,6878,0.3072,59,0.3413,0.2925,0.0161,-6819,-99.1422,45.3403,5773,65.8991,59.8411,0.7718,-1105,-16.0657,0.0039,0,0.0000,0.0000,0.0000,0,0.0000
12_získávání_informací.pdf,12629,0.1765,62,0.1944,0.1666,0.0095,-12567,-99.5091,65.6559,11367,66.3910,60.8057,0.8055,-1262,-9.9929,0.0061,0,0.0000,0.0000,0.0000,0,0.0000
13_dolování_z_textů.pdf,3575,0.0706,53,0.5543,0.4751,0.0270,-3522,-98.5175,23.5310,3167,57.8212,52.6456,0.7265,-408,-11.4126,0.0019,0,0.0000,0.0000,0.0000,0,0.0000
14_viterbiho_algoritmus.pdf,18815,0.1156,65,0.1447,0.1240,0.0069,-18750,-99.6545,69.9594,13574,56.7398,50.7533,0.6959,-5241,-27.8554,0.0069,0,0.0000,0.0000,0.0000,0,0.0000
15_učení_bez_učitele.pdf,3234,0.0531,54,0.6566,0.5628,0.0298,-3180,-98.3302,24.3782,3284,67.6467,62.8718,0.8254,50,1.5461,0.0023,0,0.0000,0.0000,0.0000,0,0.0000
16_shluková_analýza.pdf,12399,0.0691,58,0.1670,0.1432,0.0092,-12341,-99.5322,66.8787,10380,59.2192,53.5991,0.7589,-2019,-16.2836,0.0099,0,0.0000,0.0000,0.0000,0,0.0000
17_lemmatizace.pdf,4755,0.1435,49,0.2784,0.2386,0.0200,-4706,-98.9695,28.6821,4414,63.8476,58.9860,0.7857,-341,-7.1714,0.0020,0,0.0000,0.0000,0.0000,0,0.0000
18_jazykový_korpus.pdf,11733,0.1088,56,0.1597,0.1369,0.0092,-11677,-99.5227,54.0244,9478,60.3574,55.9805,0.7560,-2255,-19.2193,0.0052,0,0.0000,0.0000,0.0000,0,0.0000
19_lineární_regrese.pdf,14596,0.1253,58,0.1464,0.1255,0.0079,-14538,-99.6026,52.0676,9271,44.1371,39.4392,0.6199,-5325,-36.4826,0.0042,0,0.0000,0.0000,0.0000,0,0.0000
1_strojové_učení.pdf,4905,0.0607,52,0.3447,0.2955,0.0202,-4853,-98.9399,114.0980,5233,62.2697,57.2813,0.7990,328,6.6871,0.0031,0,0.0000,0.0000,0.0000,0,0.0000
2_algoritmus.pdf,16974,0.1407,53,0.0659,0.0565,0.0061,-16921,-99.6878,68.8710,14044,57.8589,52.0285,0.7595,-2930,-17.2617,0.0056,0,0.0000,0.0000,0.0000,0,0.0000
3_obecná_umělá_inteligence.pdf,2362,0.0648,60,1.3318,1.1416,0.0471,-2302,-97.4598,87.6781,2535,68.1468,61.9059,0.8025,173,7.3243,0.0016,0,0.0000,0.0000,0.0000,0,0.0000
4_nlp.pdf,9990,0.1869,43,0.0230,0.0192,0.0086,-9947,-99.5696,42.6461,9693,66.5312,60.8111,0.8202,-297,-2.9730,0.0045,0,0.0000,0.0000,0.0000,0,0.0000
5_word2vec.pdf,1828,0.0453,43,0.4413,0.3782,0.0438,-1785,-97.6477,12.5641,2050,74.5149,68.9129,0.8097,222,12.1444,0.0024,0,0.0000,0.0000,0.0000,0,0.0000
6_strojový_překlad.pdf,12287,0.0862,57,0.1617,0.1386,0.0089,-12230,-99.5361,59.8844,10756,60.9378,54.8252,0.7826,-1531,-12.4603,0.0084,0,0.0000,0.0000,0.0000,0,0.0000
7_chatgpt.pdf,10572,0.1080,47,0.0650,0.0557,0.0087,-10525,-99.5554,49.5290,9949,71.0088,66.0300,0.7870,-623,-5.8929,0.0044,0,0.0000,0.0000,0.0000,0,0.0000
8_rys_lingvistika.pdf,4061,0.0399,51,0.3659,0.3137,0.0233,-4010,-98.7442,22.5811,3154,57.2128,51.9406,0.7507,-907,-22.3344,0.0020,0,0.0000,0.0000,0.0000,0,0.0000
9_tvarosloví.pdf,1953,0.0524,45,0.5727,0.4909,0.0430,-1908,-97.6959,13.3673,2107,66.2476,60.7548,0.7788,154,7.8853,0.0015,0,0.0000,0.0000,0.0000,0,0.0000
