docID,title,url
0,umělá inteligence,https://cs.wikipedia.org/wiki/Um%C4%9Bl%C3%A1_inteligence
1,strojové učení,https://cs.wikipedia.org/wiki/Strojov%C3%A9_u%C4%8Den%C3%AD
2,algoritmus,https://cs.wikipedia.org/wiki/Algoritmus
3,obecná umělá inteligence, https://cs.wikipedia.org/wiki/Obecn%C3%A1_um%C4%9Bl%C3%A1_inteligence
4,nlp,https://cs.wikipedia.org/wiki/Zpracov%C3%A1n%C3%AD_p%C5%99irozen%C3%A9ho_jazyka
5,word2vec,https://cs.wikipedia.org/wiki/Word2Vec
6,strojový překlad,https://cs.wikipedia.org/wiki/Strojov%C3%BD_p%C5%99eklad
7,chatgpt,https://cs.wikipedia.org/wiki/ChatGPT
8,rys (lingvistika),https://cs.wikipedia.org/wiki/Rys_(lingvistika)
9,tvarosloví,https://cs.wikipedia.org/wiki/Tvaroslov%C3%AD
10,neuronová síť,https://cs.wikipedia.org/wiki/Um%C4%9Bl%C3%A1_neuronov%C3%A1_s%C3%AD%C5%A5
11,skrytý markovův model,https://cs.wikipedia.org/wiki/Skryt%C3%BD_Markov%C5%AFv_model
12,získávání informací,https://cs.wikipedia.org/wiki/Z%C3%ADsk%C3%A1v%C3%A1n%C3%AD_informac%C3%AD
13,dolování z textů,https://cs.wikipedia.org/wiki/Dolov%C3%A1n%C3%AD_z_textu
14,viterbiho algoritmus,https://cs.wikipedia.org/wiki/Viterbiho_algoritmus
15,učení bez učitele,https://cs.wikipedia.org/wiki/U%C4%8Den%C3%AD_bez_u%C4%8Ditele
16,shluková analýza,https://cs.wikipedia.org/wiki/Shlukov%C3%A1_anal%C3%BDza
17,lemmatizace,https://cs.wikipedia.org/wiki/Lemmatizace
18,jazykový korpus,https://cs.wikipedia.org/wiki/Jazykov%C3%BD_korpus
19,lineární regrese,https://cs.wikipedia.org/wiki/Line%C3%A1rn%C3%AD_regrese
